Order_ID,Customer_Name,Age,Gender,State,City,Product_Category,Product_Name,Quantity,Unit_Price,Sales_Amount,Order_Date,Payment_Method,Customer_Rating,Delivery_Status
ORD00001,Chatresh Kashyap,47.0,Male,Kerala,Kochi,Clothing,Chair,9.0,3255.18,29861.58,2025-03-30,UPI,4.7,Delivered
ORD00002,Yashoda Anand,52.0,Male,Kerala,Bengaluru,Clothing,Shirt,6.0,4976.93,29861.58,2025-12-15,UPI,3.1,Delivered
ORD00003,Ekbal Chand,65.0,Female,Tamil Nadu,Chennai,Groceries,Oil,9.0,2923.65,26312.85,2025-02-13,Cash,4.3,Pending
ORD00004,Gaurangi Menon,52.0,Male,Tamil Nadu,Bengaluru,Electronics,Laptop,4.0,2878.07,11512.28,2024-08-24,Cash,1.8,Cancelled
ORD00005,Shravya Sarma,58.0,Female,Maharashtra,Bengaluru,Furniture,Table,9.0,441.0,3969.0,2026-04-20,UPI,4.1,Delivered
ORD00006,Yochana Kala,28.0,Female,Tamil Nadu,Kochi,Furniture,Chair,6.0,441.0,25887.54,2026-05-30,Net Banking,1.7,Cancelled
ORD00007,Rajeshri Parikh,28.0,Male,Maharashtra,Mumbai,Groceries,Rice,9.0,3952.64,35573.76,2024-07-06,Net Banking,1.1,Cancelled
ORD00008,Mitesh Swaminathan,26.0,Male,Delhi,Mumbai,Electronics,Mobile,9.0,992.33,6946.31,2026-03-06,Debit Card,4.7,Pending
ORD00009,Nicholas Pall,28.0,Male,Maharashtra,Chennai,Electronics,Headphones,1.0,3980.29,3980.29,2026-04-20,Credit Card,3.9,Pending
ORD00010,Unni Muni,22.0,Male,Delhi,New Delhi,Groceries,Rice,9.0,1979.38,17814.42,2024-12-25,Cash,3.6,Pending
ORD00011,Anusha Narayanan,56.0,Female,Karnataka,Chennai,Groceries,Rice,9.0,3221.51,28993.59,2025-12-25,Cash,4.0,Pending
ORD00012,Michael Bhatnagar,20.0,Female,Karnataka,Kochi,Clothing,Shirt,6.0,3407.82,20446.92,2026-03-12,Cash,1.4,Delivered
ORD00013,Michael Bhatnagar,20.0,Female,Kerala,Chennai,Electronics,Shirt,6.0,4059.98,24359.88,2025-01-01,Cash,3.4,Cancelled
ORD00014,Guneet Kara,37.0,Male,Tamil Nadu,Chennai,Electronics,Headphones,7.0,1251.02,8757.14,2024-11-20,Credit Card,3.4,Pending
ORD00015,Tanmayi Sachar,23.0,Male,Tamil Nadu,Mumbai,Clothing,Shirt,3.0,1960.51,5881.53,2025-04-26,Debit Card,5.0,Cancelled
ORD00016,Nathaniel Patel,21.0,Male,Kerala,New Delhi,Books,Novel,4.0,2298.5,9194.0,2025-04-26,Debit Card,2.2,Pending
ORD00017,Rushil Saha,62.0,Male,Delhi,New Delhi,Furniture,Table,6.0,3529.92,21179.52,2025-04-26,Credit Card,2.2,Pending
ORD00018,Samar Kar,35.0,Female,Tamil Nadu,New Delhi,Furniture,Sofa,9.0,2701.14,24310.26,2024-10-05,Debit Card,4.0,Cancelled
ORD00019,Chandani Bala,56.0,Female,Kerala,Chennai,Electronics,Laptop,4.0,3603.98,14415.92,2025-05-11,UPI,2.2,Cancelled
ORD00020,Harita Singhal,60.0,Female,Tamil Nadu,Chennai,Furniture,Table,9.0,1008.68,9078.12,2025-03-14,UPI,2.1,Delivered
ORD00021,Nitara Nigam,27.0,Male,Delhi,Mumbai,Groceries,Oil,9.0,1415.23,14152.3,2024-09-16,Credit Card,3.8,Pending
ORD00022,Nimrat Wagle,64.0,Male,Tamil Nadu,Kochi,Furniture,Table,10.0,2853.59,28535.9,2025-12-09,UPI,4.5,Delivered
ORD00023,Nimrat Wagle,20.0,Male,Tamil Nadu,Chennai,Furniture,Table,8.0,3538.04,28304.32,2024-08-16,Net Banking,2.6,Pending
ORD00024,Siddharth Sood,42.0,Female,Delhi,Chennai,Furniture,Table,7.0,2499.3,17495.1,2024-12-09,Cash,3.4,Delivered
ORD00024,Rehaan Mander,31.0,Female,Kerala,Mumbai,Furniture,Sofa,2.0,560.12,1120.24,2024-08-05,Cash,1.9,Pending
ORD00026,Rajata Kalla,57.0,Female,Maharashtra,Chennai,Groceries,Rice,1.0,3552.34,3552.34,2024-10-16,Net Banking,3.5,Cancelled
ORD00026,Sara Anne,57.0,Male,Maharashtra,Chennai,Books,Novel,9.0,3926.46,35338.14,2025-01-10,Net Banking,3.2,Pending
ORD00028,Dalaja Chakraborty,64.0,Male,Tamil Nadu,Bengaluru,Furniture,Sofa,9.0,3433.5,30901.5,2025-03-14,Debit Card,4.4,Pending
ORD00029,Ayushman Ratti,55.0,Male,Kerala,Mumbai,Unknown,Rice,9.0,2085.17,18766.53,2026-02-01,Net Banking,1.8,Cancelled
ORD00030,Fariq Balakrishnan,42.0,Male,Karnataka,Mumbai,Books,Magazine,2.0,3783.28,7566.56,2025-09-25,Cash,2.3,Delivered
ORD00031,Lekha Bassi,30.0,Female,Delhi,New Delhi,Clothing,Magazine,2.0,1015.22,2030.44,2025-12-02,Credit Card,4.6,Delivered
ORD00032,Yochana Barad,42.0,Female,Tamil Nadu,New Delhi,Furniture,Table,1.0,2228.43,2228.43,2025-05-09,Credit Card,1.0,Cancelled
ORD00033,Lajita Mohanty,41.0,Male,Kerala,Kochi,Furniture,Sofa,4.0,1082.44,4329.76,2025-09-27,Credit Card,2.1,Cancelled
ORD00034,Hritik Buch,42.0,Female,Karnataka,New Delhi,Electronics,Headphones,3.0,1082.44,1578.21,2026-06-16,Debit Card,2.8,Delivered
ORD00035,Bhavya Brar,62.0,Female,Karnataka,Chennai,Electronics,Laptop,6.0,4335.43,26012.58,2024-11-27,Debit Card,3.1,Delivered
ORD00036,Gopal Sunder,42.0,Male,Delhi,Bengaluru,Furniture,Chair,5.0,2786.43,13932.15,2025-01-03,Net Banking,2.8,Pending
ORD00037,Girish Sawhney,40.0,Male,Delhi,Mumbai,Furniture,Headphones,6.0,819.39,4916.34,2026-04-08,Debit Card,2.8,Cancelled
ORD00038,Aarush Pant,38.0,Female,Delhi,New Delhi,Furniture,Chair,7.0,2287.99,16015.93,2026-05-07,Credit Card,4.0,Pending
ORD00039,Yatin Dass,37.0,Male,Tamil Nadu,New Delhi,Clothing,Jeans,5.0,2856.85,14284.25,2025-02-26,Credit Card,4.6,Pending
ORD00040,Xalak Loyal,42.0,Female,Maharashtra,Chennai,Furniture,Chair,1.0,4982.57,4982.57,2025-03-11,Credit Card,2.2,Pending
ORD00041,Hemal Chokshi,29.0,Male,Tamil Nadu,Kochi,Books,Dictionary,3.0,4982.57,1999.11,2025-11-07,UPI,4.1,Delivered
ORD00042,Om Kalita,22.0,Female,Kerala,Mumbai,Furniture,Table,3.0,543.4,1630.2,2025-11-07,UPI,4.8,Cancelled
ORD00043,Mitali Parmer,20.0,Female,Delhi,Chennai,Furniture,Chair,5.0,3759.94,18799.7,2024-07-30,Debit Card,4.6,Pending
ORD00044,Niharika Loyal,37.0,Female,Delhi,Bengaluru,Books,Magazine,10.0,4038.17,40381.7,2025-07-25,Debit Card,4.2,Pending
ORD00044,Abha Chhabra,22.0,Male,Kerala,New Delhi,Furniture,Table,10.0,4038.17,42628.2,2025-02-01,Cash,3.1,Delivered
ORD00046,Nikita Bal,53.0,Female,Kerala,Bengaluru,Furniture,Magazine,10.0,1321.5,13215.0,2025-08-04,Debit Card,2.1,Delivered
ORD00047,Rajeshri Hayre,41.0,Female,Maharashtra,Mumbai,Furniture,Table,3.0,2602.74,13215.0,2025-03-06,Net Banking,2.2,Delivered
ORD00048,Vritti Mukhopadhyay,37.0,Female,Kerala,Kochi,Books,Novel,5.0,2912.18,14560.9,2026-05-28,Credit Card,2.5,Pending
ORD00049,Hemangini Chatterjee,44.0,Male,Delhi,New Delhi,Electronics,Headphones,1.0,3737.67,3737.67,2024-07-09,Credit Card,1.8,Pending
ORD00050,Diya Mander,65.0,Female,Tamil Nadu,Bengaluru,Electronics,Headphones,5.0,4055.64,20278.2,2025-10-04,UPI,4.6,Pending
ORD00051,Wriddhish Bhatnagar,29.0,Male,Delhi,Bengaluru,Unknown,Shirt,3.0,4653.02,20278.2,2025-04-15,Cash,3.0,Delivered
ORD00051,Xiti Manne,20.0,Male,Delhi,Bengaluru,Clothing,Jacket,6.0,1546.22,9277.32,2026-06-08,Credit Card,2.2,Pending
ORD00053,Fariq Manne,31.0,Female,Maharashtra,Chennai,Groceries,Milk,10.0,2708.05,27080.5,2024-09-07,Net Banking,2.4,Pending
ORD00054,Michael Contractor,19.0,Male,Maharashtra,New Delhi,Groceries,Oil,10.0,1320.8,9245.6,2026-04-11,Cash,1.2,Delivered
ORD00054,Vritti Chaudhari,36.0,Female,Delhi,Kochi,Electronics,Headphones,5.0,4278.58,21392.9,2025-10-21,Cash,2.2,Cancelled
ORD00056,Yauvani Srivastava,21.0,Female,Tamil Nadu,Kochi,Books,Novel,4.0,2390.12,9560.48,2025-08-10,Cash,2.2,Pending
ORD00057,Ikbal Deo,22.0,Male,Kerala,Bengaluru,Clothing,Jacket,2.0,1561.34,9560.48,2024-07-10,Credit Card,1.6,Delivered
ORD00058,Radha Tara,27.0,Female,Delhi,New Delhi,Groceries,Rice,9.0,943.36,8490.24,2024-07-31,Credit Card,3.6,Cancelled
ORD00059,Jeremiah Agarwal,62.0,Female,Karnataka,Kochi,Electronics,Headphones,8.0,3779.97,30239.76,2026-06-12,Credit Card,4.6,Cancelled
ORD00060,Shivansh Sarkar,32.0,Male,Karnataka,Kochi,Books,Novel,7.0,4034.99,28244.93,2024-11-02,Net Banking,4.2,Delivered
ORD00061,Ishwar Behl,40.0,Male,Maharashtra,Kochi,Unknown,Shirt,7.0,2875.35,20127.45,2024-10-26,Debit Card,2.4,Pending
ORD00062,Upkaar Chaudhary,31.0,Female,Kerala,New Delhi,Electronics,Mobile,5.0,2995.59,14977.95,2024-09-20,Credit Card,1.9,Pending
ORD00063,Balhaar Dube,47.0,Female,Karnataka,Bengaluru,Books,Dictionary,7.0,668.56,4679.92,2026-03-20,Debit Card,4.5,Delivered
ORD00064,Udarsh Brahmbhatt,52.0,Female,Kerala,Chennai,Clothing,Shirt,5.0,4556.66,22783.3,2024-11-24,Debit Card,1.5,Delivered
ORD00065,Kala Deo,34.0,Female,Kerala,Chennai,Books,Magazine,6.0,1432.23,8593.38,2025-04-25,UPI,4.1,Cancelled
ORD00066,Warda Verma,60.0,Female,Kerala,Kochi,Books,Novel,7.0,1937.7,13563.9,2024-11-07,Cash,1.1,Delivered
ORD00067,Yoshita Nayak,30.0,Female,Maharashtra,Bengaluru,Unknown,Headphones,6.0,1814.32,13563.9,2025-10-13,Debit Card,4.5,Delivered
ORD00068,Saumya Wagle,27.0,Male,Maharashtra,Bengaluru,Books,Dictionary,9.0,4114.17,37027.53,2025-07-03,Cash,4.0,Cancelled
ORD00069,Falak Pillai,39.0,Male,Kerala,New Delhi,Books,Dictionary,6.0,808.09,4848.54,2024-07-07,Debit Card,2.9,Delivered
ORD00070,Triya Agarwal,53.0,Male,Tamil Nadu,Mumbai,Groceries,Milk,5.0,2734.3,13671.5,2024-08-26,Net Banking,3.8,Delivered
ORD00071,Ira Saini,28.0,Female,Karnataka,Mumbai,Books,Dictionary,7.0,2402.33,16816.31,2024-09-21,UPI,4.2,Delivered
ORD00072,Vanya Zachariah,54.0,Male,Karnataka,Kochi,Groceries,Rice,9.0,854.3,7688.7,2024-10-07,UPI,4.0,Cancelled
ORD00073,Ojasvi Mandal,39.0,Female,Maharashtra,Mumbai,Books,Novel,3.0,1256.22,3768.66,2025-11-05,Debit Card,4.0,Delivered
ORD00074,Owen Som,63.0,Female,Kerala,Kochi,Books,Magazine,10.0,1035.27,10352.7,2024-11-14,UPI,2.9,Pending
ORD00075,Viraj Wason,49.0,Female,Karnataka,New Delhi,Groceries,Oil,2.0,2981.49,5962.98,2025-07-09,Debit Card,1.9,Cancelled
ORD00076,Qadim Nagar,43.0,Male,Kerala,Kochi,Electronics,Mobile,10.0,3181.36,31813.6,2026-02-05,UPI,2.3,Pending
ORD00077,Siya Sha,61.0,Female,Kerala,Kochi,Books,Magazine,5.0,201.02,1005.1,2025-07-15,UPI,1.5,Cancelled
ORD00077,Siya Sha,34.0,Female,Tamil Nadu,Kochi,Furniture,Chair,2.0,3879.91,7759.82,2024-10-29,Cash,1.1,Cancelled
ORD00079,Imaran Sur,40.0,Female,Kerala,Chennai,Books,Magazine,6.0,1176.37,7058.22,2025-02-02,Cash,3.8,Delivered
ORD00080,Pratyush Pandey,29.0,Female,Karnataka,Chennai,Groceries,Rice,6.0,3182.35,15911.75,2024-11-30,Net Banking,2.2,Delivered
ORD00081,Amruta Shenoy,42.0,Female,Tamil Nadu,Mumbai,Books,Dictionary,8.0,1490.45,11923.6,2024-12-13,Credit Card,1.5,Pending
ORD00082,Ekanta Issac,54.0,Female,Tamil Nadu,New Delhi,Groceries,Milk,4.0,1405.65,5622.6,2025-05-13,Net Banking,4.5,Cancelled
ORD00083,Udant Bhat,32.0,Male,Karnataka,Kochi,Groceries,Milk,7.0,4784.42,33490.94,2025-05-02,Net Banking,4.6,Delivered
ORD00084,Saksham Gola,61.0,Male,Delhi,Chennai,Furniture,Sofa,9.0,4839.05,43551.45,2025-04-28,UPI,3.5,Delivered
ORD00085,Xiti Basak,32.0,Male,Maharashtra,New Delhi,Groceries,Rice,2.0,2429.83,4859.66,2025-04-28,Credit Card,4.0,Cancelled
ORD00086,Nitesh Raju,40.0,Female,Tamil Nadu,New Delhi,Electronics,Mobile,7.0,184.67,1292.69,2024-11-12,Net Banking,3.0,Pending
ORD00086,Aadi Aggarwal,62.0,Male,Kerala,Mumbai,Electronics,Headphones,1.0,1995.57,1995.57,2025-05-21,Debit Card,2.5,Pending
ORD00088,Ishani Mani,61.0,Female,Kerala,Bengaluru,Electronics,Mobile,9.0,3891.68,35025.12,2025-03-15,Credit Card,2.0,Delivered
ORD00089,Harrison Kannan,55.0,Male,Delhi,Bengaluru,Books,Novel,9.0,1864.26,3728.52,2025-09-20,Credit Card,4.6,Cancelled
ORD00090,Tristan Swaminathan,60.0,Male,Maharashtra,Mumbai,Clothing,Shirt,9.0,1266.15,11395.35,2026-02-14,Credit Card,1.9,Pending
ORD00091,Tristan Swaminathan,60.0,Male,Tamil Nadu,Chennai,Books,Magazine,9.0,1432.17,12889.53,2024-07-02,Cash,1.9,Cancelled
ORD00092,Manthan Ahluwalia,44.0,Male,Maharashtra,Bengaluru,Furniture,Sofa,7.0,1293.78,9056.46,2025-02-13,Credit Card,2.9,Pending
ORD00093,Reyansh Barad,40.0,Male,Karnataka,Mumbai,Books,Magazine,3.0,3149.88,9449.64,2026-04-02,Credit Card,1.8,Pending
ORD00094,Wyatt Subramanian,57.0,Male,Kerala,Kochi,Electronics,Mobile,9.0,274.81,2473.29,2025-03-15,UPI,3.5,Delivered
ORD00095,Aarini Taneja,39.0,Male,Tamil Nadu,Chennai,Unknown,Dictionary,4.0,1296.71,5186.84,2025-03-15,Net Banking,4.6,Pending
ORD00096,Robert Shan,64.0,Female,Maharashtra,Bengaluru,Electronics,Mobile,3.0,205.17,615.51,2024-09-11,Credit Card,2.3,Pending
ORD00097,Oliver Comar,42.0,Male,Kerala,Kochi,Electronics,Mobile,2.0,305.38,610.76,2025-11-20,UPI,2.0,Delivered
ORD00098,Shravya Butala,20.0,Female,Maharashtra,Mumbai,Books,Magazine,9.0,2755.9,24803.1,2025-05-03,UPI,3.6,Pending
ORD00099,Advay Doshi,35.0,Male,Tamil Nadu,Bengaluru,Groceries,Oil,8.0,1113.63,8909.04,2025-08-10,Cash,3.8,Pending
ORD00100,Rachit Walla,22.0,Male,Maharashtra,Chennai,Books,Magazine,10.0,1113.63,36381.8,2025-11-23,Net Banking,4.1,Pending
ORD00101,Samaksh Mohan,27.0,Female,Tamil Nadu,New Delhi,Books,Jeans,8.0,4543.35,36346.8,2025-04-29,Net Banking,4.1,Delivered
ORD00102,Balvan Oak,25.0,Male,Maharashtra,Bengaluru,Groceries,Oil,6.0,2554.42,15326.52,2025-11-02,Net Banking,4.1,Pending
ORD00103,Urvi Kanda,18.0,Male,Maharashtra,Chennai,Clothing,Jacket,9.0,435.08,3915.72,2025-11-27,UPI,1.8,Cancelled
ORD00104,Banjeet Sha,26.0,Female,Maharashtra,Kochi,Books,Novel,8.0,2759.21,22073.68,2025-10-04,Cash,3.5,Pending
ORD00105,Hemal Bhatt,44.0,Male,Delhi,Mumbai,Furniture,Table,3.0,824.58,2473.74,2024-12-19,Net Banking,4.8,Delivered
ORD00106,Onveer Sabharwal,45.0,Male,Kerala,Mumbai,Books,Magazine,3.0,2918.44,8755.32,2025-08-18,Cash,1.6,Delivered
ORD00107,Isha Chada,42.0,Male,Tamil Nadu,Chennai,Groceries,Milk,3.0,2562.82,7688.46,2024-09-11,Debit Card,1.5,Cancelled
ORD00108,Thomas Solanki,42.0,Female,Kerala,Chennai,Clothing,Jeans,8.0,2029.62,16236.96,2026-01-04,Cash,2.0,Pending
ORD00109,Jeet Das,42.0,Male,Kerala,Kochi,Groceries,Oil,3.0,2150.27,6450.81,2024-11-03,Cash,2.8,Cancelled
ORD00110,Riya Bahl,20.0,Male,Maharashtra,Kochi,Unknown,Magazine,9.0,1414.11,12726.99,2024-09-03,UPI,2.3,Delivered
ORD00111,Zayan Nagarajan,62.0,Male,Delhi,New Delhi,Electronics,Magazine,6.0,4992.36,29954.16,2025-02-04,Credit Card,4.4,Delivered
ORD00112,Rayaan Patla,26.0,Male,Kerala,New Delhi,Groceries,Oil,7.0,894.59,6262.13,2025-02-04,Credit Card,4.4,Cancelled
ORD00113,Advay Krishnamurthy,43.0,Male,Karnataka,New Delhi,Clothing,Shirt,3.0,2913.09,8739.27,2026-03-04,Cash,3.9,Cancelled
ORD00114,Bina Kurian,63.0,Female,Tamil Nadu,Mumbai,Furniture,Table,3.0,2186.63,13119.78,2025-06-09,Debit Card,3.0,Delivered
